geohash6,rmse(t+1),rmse(t+2),rmse(t+3),rmse(t+4),rmse(t+5),smape(t+1),smape(t+2),smape(t+3),smape(t+4),smape(t+5)
qp09u5,0.010137974499989677,0.010598079993388512,0.011068874496340609,0.011356058931810343,0.01159258511321384,52.65746432878806,51.55275992846946,51.558138774515605,54.00619943596482,52.76935486733893
qp0djk,0.010541424747845302,0.010820169407505185,0.011058592207601326,0.011088504823353378,0.011232210333427937,69.9583408328315,65.85104452568544,67.29587990790182,66.92562774438395,66.62942132851734
qp09ds,0.012808685483759774,0.013453633507159462,0.013758335495352792,0.013985993938718464,0.013975559712794605,74.13288763222593,68.83128850005966,71.69235351504027,74.94575526732004,75.26614857788331
qp09g6,0.026632862231164393,0.029077243462817974,0.030271813621051143,0.030372791402454576,0.030582962699234356,24.035611283512928,26.012087548289912,27.002188965728063,27.184100630585046,27.268769329995994
qp09gj,0.016492498957397173,0.017601706107940852,0.018090156199785185,0.01841545871608068,0.018569556967616037,59.05720549410777,58.19205753449515,60.93238292972804,61.54296253521724,61.17737787781051
qp02zx,0.05375035951021479,0.05788259360281957,0.06047072231437023,0.06117343403562259,0.061250638622598566,34.50151036396096,36.29790334197715,35.59429322028672,35.23392952617948,35.86612813442183
qp0921,0.015341601950773392,0.016800999267943675,0.0175223757693504,0.01820935947841415,0.018609817271636277,32.18163014849692,34.05263393392653,34.688079193507754,34.823664068419106,35.38488857044826
qp0d15,0.015016040468658072,0.01591397122192287,0.01598639202304089,0.01643444981362932,0.017028454837288865,47.07264281293139,45.69509932519103,45.76515440215255,47.682245228757054,47.90531946995491
qp06ns,0.0007447464266025218,0.0008242619604340041,0.000825728784010728,0.0008478045060230547,0.0009486774080085135,61.33302767718754,67.71336809173218,61.84945446000991,59.36640685922262,62.765256713591654
qp0944,0.013304433191495987,0.01422468711384215,0.014569374793217611,0.014699581343513344,0.01491297800710651,60.364962441267394,57.82110086210893,57.691728547277066,58.71791528902338,58.63421849144215
qp03xk,0.031167302602297515,0.037609325912038624,0.042346517927537415,0.04537986607480319,0.04938552802855461,11.85746444582012,13.643034523168662,15.073506290159411,16.065340743734406,17.190602391102562
qp09t1,0.0003178242185807935,0.0003298161540640185,0.0002933256418499157,0.0003341087143066493,0.0003205874590566324,16.4559623790214,20.670372847633608,15.95773378337415,20.564372406834096,19.26554887205676
qp0950,0.021417537670265052,0.024192517558440926,0.025612420227560117,0.026018260679200135,0.026979542059689946,42.15185524823682,40.82372690136364,42.31753782638153,42.657584293973294,43.2488194013141
qp09h5,0.009011620200036295,0.009566912125240018,0.009817856832784376,0.009944434185946462,0.01018031240284834,75.69291692404381,71.82133730923151,73.63923040172766,73.88701808241814,74.17273152801674
qp090w,0.008675020168730724,0.009055281402029481,0.009235958281918899,0.009465873067917921,0.009578848386800207,56.84488478612064,56.59088055006448,56.78480725787314,56.89407203859704,57.21987236782763
