geohash6,rmse(t+1),rmse(t+2),rmse(t+3),rmse(t+4),rmse(t+5),smape(t+1),smape(t+2),smape(t+3),smape(t+4),smape(t+5)
qp03yv,0.011466429171918879,0.0136245722451617,0.014324388194158082,0.015336997923782745,0.01626492224574127,60.04073144155459,64.20375086638722,66.82369012940072,69.58710376043257,75.00375305613642
qp09bq,0.014265701037348276,0.017664816528220287,0.019540886114444912,0.021497993263261735,0.02307305596198346,44.27363716555797,50.098978879073734,52.908943482405576,57.04552229964271,59.542789139853504
qp09k0,0.007455355972836363,0.008659134654749096,0.008788402550524342,0.00881508541531938,0.009268910185345319,72.29850956150769,81.15960534436125,83.26391072225243,84.30656331569025,87.330069619211
qp06pe,0.011387814588552677,0.013121620457319606,0.013827479151142675,0.014780867846572609,0.015495598339409946,52.84970465070977,57.057093667288335,59.37197490144484,63.505007196660394,64.40038412139607
qp03w7,0.013249723069978389,0.016291513373658324,0.018762517561372823,0.02110257654254433,0.02260457613649338,44.824413933118066,53.155036136215884,55.71943062822456,61.91199959255861,64.0873941452451
qp098e,0.01735324106362002,0.022332347875396213,0.026180125808255225,0.02967863220838077,0.03292208347537683,32.9977714217894,39.19163917413963,42.4793986458056,45.41124335104278,48.03242904185334
qp03q6,0.01358238669872474,0.0161739382383329,0.01778091184324496,0.01915987735666297,0.02032256408860096,42.51378809884933,48.37379795245753,52.94218145382762,56.547967053989446,58.55953023312609
qp06n8,0.003959274686205028,0.004476634040723465,0.004822983390859334,0.004778476754777113,0.004850006468172757,75.64626191035599,82.95950667613396,91.08512598623805,90.68209169112365,88.84160842418046
qp0925,0.026485113483240112,0.033391876272846226,0.03849394017401463,0.04347708898466478,0.04793683749683346,18.50714890463052,23.012695840580758,26.34846196702181,29.837726149823997,32.88288783565593
qp09b2,0.022793810918753505,0.031413880925405716,0.03785601889101689,0.04412129837250354,0.04957979718228364,34.201052223565526,41.44417499753426,45.063330690170545,48.91464174803707,51.80553243565186
qp096t,0.033904136918738635,0.041549811265180696,0.04740530633065019,0.05234810890189,0.057090230005592386,35.01933204940365,40.49083397969476,45.05282861000676,48.5948402205332,51.99401943324863
qp09gh,0.016722091938559523,0.019260865501917687,0.020672983991694656,0.022025962291228725,0.022871433835291596,47.396710761724954,54.88033714261227,59.61775437376596,61.00294716093412,63.67767153974165
qp03y1,0.004040855733764221,0.004822970826920451,0.004989881516871899,0.00506223207390303,0.005372630550479729,71.13546716721845,82.56659085147135,84.47205108963473,85.60992490769003,89.58404176548888
qp0djw,0.002149210022614755,0.0023816661642547137,0.002495440581145975,0.0025874521952228553,0.0026537364093347027,42.61552844391508,47.09162952892795,48.68386310974452,48.24867409813941,50.67605502111948
qp09t8,0.024744338125662995,0.029646076299863294,0.03296093295641704,0.03603323424648336,0.0384015877133348,43.20240430623705,52.544708473704326,57.36562831135708,62.41226544843319,65.38890890989562
qp094j,0.013805061232892149,0.015982482537741725,0.01678469921727516,0.0173273281664177,0.018225298022100964,66.51026036680848,72.51614136278829,74.81683434108554,77.77045845941937,80.68757567422668
qp09k3,0.01686489073631709,0.019531364252006963,0.020375763106822847,0.022028104145842817,0.02250465010325448,52.99862774544152,57.0369451561952,60.660916487308846,64.22497918403789,67.69559516162818
qp09ss,0.02098519020954256,0.025740393608771693,0.027922325000655192,0.02991940980597506,0.03200273059550385,44.30917138027249,51.85191004363224,55.88058991706211,59.74469718966085,62.996906134680486
qp09hm,0.020320238352978068,0.02378263845276959,0.02597227290265726,0.02714012224130334,0.029596947338845738,41.70928968528481,48.99670990671479,52.94765130513765,55.64338149460025,61.23238617403834
qp03wt,0.016883020662282814,0.020383250930362286,0.022439272626414902,0.02465334004299672,0.026808091198627915,37.066488649198355,42.199350379045626,45.260247707484474,47.69671038336994,51.817253172526755
qp092d,0.011442838665475337,0.013628837748667567,0.014562423809299787,0.015719463602284618,0.016721748938424975,49.17977310893995,55.97642310292633,58.9821899797116,63.08518710988089,64.89091063303133
qp03rh,0.0221455301899136,0.029644406589109083,0.03420175788558858,0.039123145558238065,0.043399006249570736,37.04466091386894,42.896085162923455,48.01033521600913,52.25183983319381,55.998080075734066
qp03w0,0.016413577278608014,0.020086206556108637,0.02212230747333905,0.02360592210225551,0.025231578314862075,34.76737871791663,40.28677641678186,43.9003477933462,46.35579026212126,47.65326679621935
qp03y9,0.017909229717403077,0.022748527495824115,0.0246388078317765,0.026916983062971214,0.02937650394044253,29.80287497631361,36.14839558168423,38.78660169130741,41.62936468365644,44.71371963099039
qp09ge,0.0057157821442442806,0.006404573672420461,0.006900830685416566,0.007365610738620168,0.007933207211820911,62.849108563299595,70.79516410927427,73.22640595896364,75.42333190476005,79.30088598927921
qp03ye,0.016322542311936243,0.01875929052083374,0.020939838371772882,0.02229767740523891,0.023486119916868147,37.074577101293954,39.720220025053315,44.03012017789482,46.08838603103426,48.0387699429834
qp096w,0.04069275317203684,0.05119064837934344,0.05801257951560534,0.0648331913089319,0.0721260675018768,26.536151093508458,31.48150281699412,34.65340703647748,37.844661074823094,41.53583921562816
qp03x3,0.019795839595732206,0.02517372547680918,0.028634104116648726,0.03187096648474491,0.03495331974104618,24.32903694291166,29.721801183048314,33.4748258212199,36.26087709267342,39.29577788544975
qp03xu,0.021753332866858724,0.02656532066250451,0.030203722273518873,0.034041769033864674,0.03830517185544564,23.090648076040917,27.107612127575553,30.194097595346356,32.782007805036464,36.915659846906344
qp03mz,0.011488106976678788,0.013243166185374699,0.014468878008230946,0.01518261099499661,0.01631569949801537,51.45291916461484,57.919362865855966,62.96533704211483,65.19528727429532,68.80791189649769
qp093x,0.03383752000118676,0.04084714674268952,0.04540888783238974,0.050200226535898895,0.05371566352373319,40.26180100518647,46.68073389121191,49.666469746425896,54.44602750349729,57.62013914702924
qp09dk,0.03871146795243333,0.04510836471352589,0.048692285518124705,0.049010797278306546,0.05131413955743738,22.196034497743046,24.926459590158107,26.934069252724495,27.32444895952023,28.811027383836656
qp09hy,0.01100650569321618,0.012294121899811323,0.012630704815590905,0.013181434570453988,0.012778502926397785,74.69153368204371,79.92518322117061,82.88356601210539,86.88751203334624,87.14401496843057
qp0d19,0.009765927974118387,0.010662069822414674,0.010721266346936048,0.01108859643957739,0.011161448711973837,80.49621706574297,83.30743306235426,85.16910310022953,88.48500676579363,90.3350695061025
qp09dm,0.02156496404566045,0.025283346584509005,0.026694406237244825,0.027324881907878917,0.02847473572784016,50.14766244357789,56.77474498631294,60.68983037984893,61.76340051908061,62.929591353928814
qp09sz,0.025394290156597474,0.031320443918588646,0.03569804519147537,0.039974132599230994,0.04438172295366448,38.24879436882464,44.21172128412922,49.78287433822177,54.421307069520026,59.92890554414399
qp06pw,0.00691068400271641,0.008058425236316806,0.00873399901300384,0.008915606522741199,0.009223207478673815,67.84305132261068,75.64890906754384,77.76116263819723,80.4263419265315,81.5393114339001
qp09gw,0.018837971729865496,0.02241454061061788,0.024040626239375418,0.024954405191760523,0.026527888632649887,49.028312963099076,56.99987425015013,62.734673031775806,65.08231349156429,67.56003705731462
qp02zz,0.042313150376441996,0.059418796012982285,0.0757887953013228,0.09500331892486649,0.11351837756797732,29.999376261040133,36.74461171171642,41.99747046686068,48.980380911517784,54.563652187942594
qp0dj0,0.027634549306834087,0.0326372558502713,0.03535945944482491,0.038469413689183315,0.04100018012760858,39.048295960085305,46.07990725791557,49.14213934171506,52.03900213836106,54.906286524418945
qp03yk,0.009005299059615297,0.010591684654375773,0.010973321098584414,0.011710525352771308,0.012305553834560638,59.26969826423137,65.77498806108781,66.88242055988131,72.86114824194449,78.54258497843584
qp09g1,0.02616463800657725,0.030309032202821242,0.03330664803395237,0.0355487915297784,0.03774162404855309,43.318372763275704,49.8866456101154,54.09724043225315,56.98894325277363,61.00909362604738
qp099b,0.0238559283185705,0.028771814211504054,0.030991128241530552,0.03231188348530559,0.03429578770905197,44.90883935431059,53.33438051825724,58.29905057840795,60.71408924006817,64.25364861095798
qp08fx,0.006674959691254944,0.007414634851557077,0.007903381562541403,0.008529877701452663,0.008523224370290971,73.24653497608125,79.26189349210571,81.63910678895643,83.83816404551271,81.69370445701078
qp09e5,0.027225406813581668,0.04243904319276823,0.05813348179319101,0.073623333111811,0.09032634412714363,7.555226851760094,10.851780424534372,14.60226981779842,18.06985475304104,21.771670550330075
qp09fd,0.017228848897440984,0.020114733809406555,0.021237228227238107,0.022340323577942193,0.02401996330941064,49.08512993299004,54.78577274421467,59.15839354573913,61.3696474553715,66.42521487400158
qp09tp,0.025665015573895895,0.03222937086078249,0.035547604568669205,0.03927416004172455,0.042363368330738775,43.96882466138466,52.88042149973363,55.92060640777935,59.778349663236746,63.998092838174095
qp09hj,0.026736890948142487,0.031256638451633796,0.03404289856460535,0.03607298993944193,0.037745687315341274,46.11940968999234,51.2921784017609,56.36846625800232,59.794759245746484,60.45447100757029
qp0900,0.067160004555031,0.07991979439044011,0.09149534322479388,0.10627491489294605,0.11689675795497685,37.34736590206633,43.43778355985584,50.03101024793504,55.082489062241486,60.966662268810694
qp0d5g,0.003777176442907736,0.0045792622705906555,0.004736630226128249,0.005052372398451872,0.004961960219079665,58.28648127593614,67.34367545544984,69.61935095861848,71.63240253606803,73.81844972531435
qp09gy,0.019149230113170348,0.02238892095821966,0.02447515407307525,0.025561223588605114,0.026691848836313512,46.410961604949144,52.85950695273508,58.59051851082661,60.5316540220464,63.38915030896952
qp08gy,0.005173037979312787,0.0056093555894757684,0.005917799017797507,0.006127465879029913,0.006151994364834389,68.94040999643522,70.58668453510138,75.50330431709837,75.70301220893163,78.80710729031068
qp09jq,0.02694580121008681,0.0329148371017769,0.036277807256072166,0.03969527163822952,0.044421237264365934,28.721987180443474,35.00467103321468,40.51464577512062,45.26416758813937,51.49054489414981
